Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5",805,5,0.1uF,C49678
D2,D_SMB,1,D,C413465
"MOTOR1, MOTOR2",ZH1.5-6,2,Conn_01x06_Pin,C722926
Q1,SOT-23,1,NMOS,C2589
R1,805,1,4.7k,C17673
R2,805,1,500,C2828711
R3,805,1,15k,C17475
"R4, R5, R6",805,3,10k,C17414
TP1,PinHeader_1x01_P2.54mm_Vertical,1,VSUP_VCC,C2906762
TP2,PinHeader_1x01_P2.54mm_Vertical,1,5V,C2906762
TP3,PinHeader_1x01_P2.54mm_Vertical,1,GND,C2906762
