Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,0.1uF,C49678
"D1, D2, D3, D4, D5, D6, D7, D8",LED_SFH4715AS,8,LED,C2880156
"D10, D11, D12, D13, D14, D15, D17, D9",D3V3M1U2S9-7,8,D_TVS,C1869322
Q2,MMBT3904,1,MMBT3904,C20526
R1,0805,1,5K,C17673
RV1,35WR5KLFTR,1,35WR5KLFTR,C719177
U2,PinSocket_1x02_P2.54mm_Vertical_SMD_Pin1Left,1,Camera Input,C2883759
U4,TENSILITY_54-00164,1,Barrel Jack,C521452
U1,Current Driver,0,Current Driver,not ordering from JLPCB
